,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hermanus,48,ZA,12/18/19,64,-34.42,19.24,64.0,8.99
1,Busselton,100,AU,12/18/19,48,-33.64,115.35,72.0,21.63
2,Khatanga,100,RU,12/18/19,99,71.98,102.47,-10.07,3.33
3,Charters Towers,98,AU,12/18/19,40,-20.07,146.27,86.85,9.95
4,Bubaque,4,GW,12/18/19,63,11.28,-15.83,80.08,8.25
5,Katsuura,75,JP,12/18/19,62,33.93,134.5,52.0,2.24
6,Hasaki,75,JP,12/18/19,87,35.73,140.83,50.0,10.29
7,New Norfolk,75,AU,12/18/19,55,-42.78,147.06,78.01,23.04
8,Rikitea,100,PF,12/18/19,84,-23.12,-134.97,76.21,12.24
9,Tasiilaq,98,GL,12/18/19,57,65.61,-37.64,17.6,5.82
10,Vila Velha,40,BR,12/18/19,74,-3.71,-38.6,82.4,12.75
11,Scarborough,100,GB,12/18/19,87,54.28,-0.41,50.0,11.41
12,Port Moresby,40,PG,12/18/19,59,-9.47,147.16,91.4,12.75
13,Georgetown,75,GY,12/18/19,94,6.8,-58.16,77.0,4.7
14,Areosa,75,PT,12/18/19,93,41.72,-8.86,57.0,23.04
15,Ushuaia,90,AR,12/18/19,87,-54.81,-68.31,44.6,18.34
16,Kavieng,34,PG,12/18/19,66,-2.57,150.8,84.69,2.73
17,Weare,90,GB,12/18/19,93,51.27,-2.84,54.0,19.46
18,Albany,90,US,12/18/19,72,42.65,-73.75,19.4,16.11
19,Sabha,0,LY,12/18/19,36,27.03,14.43,54.5,4.47
20,East London,20,ZA,12/18/19,82,-33.02,27.91,62.6,4.7
21,Mataura,100,NZ,12/18/19,78,-46.19,168.86,55.0,1.01
22,Lagos,29,NG,12/18/19,88,6.46,3.39,80.6,5.84
23,Coquimbo,0,CL,12/18/19,87,-29.95,-71.34,57.2,4.7
24,Wundanyi,9,KE,12/18/19,96,-3.4,38.37,67.39,3.58
25,Riga,75,LV,12/18/19,80,56.95,24.11,41.0,6.93
26,Anadyr,75,RU,12/18/19,91,64.73,177.51,1.4,4.47
27,Atuona,0,PF,12/18/19,75,-9.8,-139.03,80.22,13.04
28,Bereda,10,ES,12/18/19,81,43.27,-7.54,54.0,25.28
29,Torbay,90,CA,12/18/19,73,47.66,-52.73,26.01,3.36
30,Port Alfred,98,ZA,12/18/19,71,-33.59,26.89,64.99,3.96
31,Tangwani,40,PK,12/18/19,93,28.28,69.0,50.0,4.7
32,Durusu,0,TR,12/18/19,43,37.53,40.83,50.0,14.99
33,Bethel,1,US,12/18/19,71,60.79,-161.76,6.8,16.11
34,Bredasdorp,0,ZA,12/18/19,62,-34.53,20.04,64.0,8.05
35,Hobart,75,AU,12/18/19,55,-42.88,147.33,78.01,23.04
36,Iranshahr,86,IR,12/18/19,77,27.21,60.69,59.0,6.93
37,Punta Arenas,92,CL,12/18/19,76,-53.16,-70.91,48.2,18.34
38,Puerto Ayora,6,EC,12/18/19,89,-0.74,-90.35,73.0,1.99
39,Gondar,75,PT,12/18/19,93,41.82,-8.78,57.0,23.04
40,Amot,100,NO,12/18/19,93,59.57,7.99,18.0,2.93
41,Port Hedland,0,AU,12/18/19,9,-20.31,118.58,113.0,12.75
42,Nuristan,90,UZ,12/18/19,100,38.49,65.64,35.6,2.24
43,Honningsvag,99,NO,12/18/19,70,70.98,25.97,33.64,4.97
44,Lieksa,100,FI,12/18/19,88,63.32,30.02,26.31,8.57
45,Arraial do Cabo,100,BR,12/18/19,88,-22.97,-42.02,75.06,14.36
46,Oktyabrskoye,100,RU,12/18/19,72,56.73,85.44,18.0,8.95
47,Fare,100,PF,12/18/19,87,-16.7,-151.02,75.65,5.3
48,Victoria,75,BN,12/18/19,74,5.28,115.24,84.2,3.36
49,Belmonte,100,PT,12/18/19,89,40.36,-7.35,57.0,15.01
50,Tiznit,98,MA,12/18/19,87,29.7,-9.73,51.24,0.56
51,Padang,100,ID,12/18/19,76,-0.92,100.36,76.66,2.13
52,Ashington,75,GB,12/18/19,100,55.18,-1.57,48.99,11.41
53,Talnakh,100,RU,12/18/19,84,69.49,88.39,3.2,8.95
54,Cidreira,12,BR,12/18/19,78,-30.17,-50.22,71.08,27.2
55,Inverness,95,GB,12/18/19,81,57.48,-4.23,46.99,17.22
56,Saldanha,100,PT,12/18/19,96,41.42,-6.55,50.36,10.36
57,Dikson,99,RU,12/18/19,93,73.51,80.55,6.58,8.16
58,Constitucion,5,MX,12/18/19,48,23.99,-104.67,46.0,5.82
59,Axim,19,GH,12/18/19,91,4.87,-2.24,77.0,3.06
60,Avarua,100,CK,12/18/19,78,-21.21,-159.78,77.0,14.99
61,Carlsbad,20,CZ,12/18/19,100,50.23,12.87,43.0,2.24
62,Hithadhoo,13,MV,12/18/19,76,-0.6,73.08,83.53,14.83
63,Mar del Plata,40,AR,12/18/19,33,-46.43,-67.52,60.67,24.16
64,Narsaq,95,GL,12/18/19,28,60.91,-46.05,28.4,20.8
65,Freeport,100,BS,12/18/19,84,26.54,-78.7,73.13,18.81
66,Cape Town,40,ZA,12/18/19,77,-33.93,18.42,63.0,10.29
67,Chicama,75,PE,12/18/19,88,-7.84,-79.15,68.0,9.17
68,Monroe,1,US,12/18/19,60,41.91,-83.4,18.0,5.82
69,Butaritari,1,KI,12/18/19,75,3.07,172.79,84.54,9.86
70,Vaini,20,IN,12/18/19,93,15.34,74.49,64.4,3.36
71,Arrifes,75,PT,12/18/19,93,37.77,-25.7,60.8,14.99
72,Kupang,40,ID,12/18/19,75,-10.16,123.6,89.6,9.17
73,Tuktoyaktuk,5,CA,12/18/19,66,69.44,-133.03,-31.0,6.93
74,Ribeira Grande,100,PT,12/18/19,87,38.52,-28.7,60.08,26.51
75,Carnarvon,31,ZA,12/18/19,81,-30.97,22.13,41.85,1.86
76,Praia da Vitoria,40,PT,12/18/19,93,38.73,-27.07,59.0,28.36
77,Kapaa,40,US,12/18/19,65,22.08,-159.32,82.4,11.41
78,Fortuna,90,US,12/18/19,100,40.6,-124.16,51.8,3.36
79,Vicksburg,1,US,12/18/19,74,32.35,-90.88,35.6,3.2
